slug,authority,code,label,granularity,native_level,binding,shared_with,note
striploin,census_hs,0202305045,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, LOIN",line,hs10,aggregate_and_shared,beef-tenderloin,
striploin,usda_ers,Beef: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
striploin,usda_nass,CATTLE,CATTLE,commodity,nass_commodity,exact,,
sweet-potato,census_hs,071420,"SWEET POTATOES, FRESH OR DRIED, WHETHER/NT PELLETS",commodity,hs6,exact,,
sweet-potato,usda_ers,Fresh sweet potatoes: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
sweet-potato,usda_nass,SWEET POTATOES,SWEET POTATOES,commodity,nass_commodity,exact,,
tea,census_hs,090230,"BLACK TEA, PACKAGES NOV 3KG",commodity,hs6,slug_aggregates_codes,,
tea,census_hs,090240,"BLACK TEA, NESOI",commodity,hs6,slug_aggregates_codes,,
tilapia,census_hs,030323,"TILAPIAS, FROZEN (whole)",commodity,hs6,slug_aggregates_codes,,
tilapia,census_hs,030431,"TILAPIA FILLETS, FRESH OR CHILLED",commodity,hs6,slug_aggregates_codes,,
tilapia,census_hs,030461,"TILAPIA FILLETS, FROZEN",commodity,hs6,slug_aggregates_codes,,
tilapia,usda_nass,TILAPIA,TILAPIA,commodity,nass_commodity,exact,,US farmed tilapia if NASS carries it; small vs imports.
tomatillo,census_hs,0810904610,"TOMATILLOS, FRESH",line,hs10,exact,,Fresh tomatillos specifically.
tomato,census_hs,070200,"TOMATOES, FRESH OR CHILLED",commodity,hs6,exact,,"All fresh tomatoes (2010-2025 full history). Cherry tomatoes are also broken out to cherry-tomato at HS10 — a subset of this total, not additional; roma and grape are distinct HS10 types left for a specialty pass."
tomato,ghcn_weather,mx-sinaloa,Culiacan / Sinaloa winter-vegetable export belt (warm-season fruiting veg),proxy,weather_region,code_shared_by_slugs,bell-pepper;jalapeno;serrano-pepper;poblano-pepper;habanero-pepper;cucumber;eggplant,stated origin: Mexico 81%
tomato,usda_ers,Fresh tomatoes (field and hothouse): Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
tomato,usda_nass,TOMATOES / FRESH MARKET,TOMATOES,line,nass_commodity_class,exact,,Fresh-market tomatoes; NASS does not split cherry/roma/round at the survey level.
tomato-paste,census_hs,200290,TOMATO PASTE ETC,commodity,hs6,exact,,
tuna-loin,census_hs,030487,"TUNA (GENUS THUNNUS), SKIPJACK TUNA (STRP-BEL), FRZ",commodity,hs6,exact,,"Frozen tuna (Thunnus + skipjack), the dominant import form; fresh tuna is separate codes."
tuna-loin,noaa_fisheries,tuna,Tuna (all),group,noaa_category,exact,,Yellowfin/bigeye/albacore/bluefin/skipjack roll up; a loin is a cut of the same landing.
turmeric,census_hs,091030,TURMERIC (CURCUMA),commodity,hs6,exact,,
vanilla,census_hs,090510,"VANILLA, NEITHER CRUSHED NOR GROUND",commodity,hs6,slug_aggregates_codes,,
vanilla,census_hs,090520,"VANILLA, CRUSHED OR GROUND",commodity,hs6,slug_aggregates_codes,,
walnut,census_hs,080232,"WALNUTS, FRESH OR DRIED, SHELLED",commodity,hs6,exact,,
walnut,usda_nass,WALNUTS,WALNUTS,commodity,nass_commodity,exact,,
watermelon,census_hs,080711,"WATERMELONS, FRESH",commodity,hs6,exact,,
watermelon,usda_ers,Fresh watermelon: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
watermelon,usda_nass,MELONS / WATERMELON,MELONS,line,nass_commodity_class,exact,,
whole-chicken,usda_ers,Total chicken: Supply and use,poultry,commodity,ers_commodity,exact,,scope: commodity
whole-chicken,usda_nass,CHICKENS / BROILERS,CHICKENS,line,nass_commodity_class,exact,,
whole-crab,census_hs,030614,"CRABS, INCLUDING IN SHELL, FROZEN",commodity,hs6,exact,,Frozen crab (the dominant import form); fresh/live crab is a separate code.
whole-crab,noaa_fisheries,crab,Crab,group,noaa_category,exact,,"Blue, dungeness, king, snow/tanner and more roll up; all wild."
whole-halibut,census_hs,030221,"HALIBUT/GREENLAND TURBOT EX FILLET, LVR, ROE FR/CH",commodity,hs6,exact,,"Halibut and Greenland turbot, fresh/chilled, whole (excludes fillets/livers/roes)."
whole-halibut,noaa_fisheries,halibut,Halibut,group,noaa_category,exact,,Pacific halibut dominates the value; Atlantic/California/Greenland roll up.
whole-lobster,census_hs,030612,"LOBSTERS, INCLUDING IN SHELL, FROZEN",commodity,hs6,exact,,Frozen lobster; fresh/live lobster is a separate code.
whole-lobster,noaa_fisheries,lobster,Lobster,group,noaa_category,exact,,American (Maine) + spiny lobster roll up; both wild.
whole-salmon,census_hs,030214,ATLANTIC SALMON AND DANUBE SALMON FRESH OR CHILLED,commodity,hs6,exact,,Fresh whole Atlantic/Danube salmon (excludes fillets); data 2012+ (pre-2012 sat under a prior code).
whole-salmon,noaa_fisheries,salmon,Salmon (Pacific wild),group,noaa_category,code_shared_by_slugs,salmon-fillet;salmon-skin-on-fillet,"US wild = Pacific/Alaska (chinook, coho, sockeye, pink, chum). Atlantic salmon is farmed (US wild Atlantic landing is $0/confidential every year) and is EXCLUDED from the wild figure."
whole-trout,census_hs,030211,"TROUT (SALMO TRUTTA, ETC) FRESH, CHILLED, NESOI",commodity,hs6,exact,,Fresh whole trout (Salmo trutta and relatives).
whole-trout,noaa_fisheries,trout,Trout (wild),group,noaa_category,exact,,"US wild trout landing is tiny (~$0.1M, mostly lake trout). Menu trout is overwhelmingly farmed (NASS aquaculture) — degrades toward absence on the wild side."
whole-trout,usda_nass,TROUT,TROUT,commodity,nass_commodity,exact,,US farmed trout (aquaculture).
whole-turkey,usda_ers,Turkey: Supply and use,poultry,commodity,ers_commodity,exact,,scope: commodity
whole-turkey,usda_nass,TURKEYS,TURKEYS,commodity,nass_commodity,exact,,
yam,census_hs,071430,"YAMS, FRESH, CHILLED, FROZEN OR DRIED",commodity,hs6,exact,,
yeast,census_hs,210210,"YEASTS, ACTIVE",commodity,hs6,exact,,
yellow-squash,census_hs,0709932030,"YELLOW STRAIGHTNECK SQUASH, CERT ORGANIC",line,hs10,slug_aggregates_codes,,
yellow-squash,census_hs,0709932075,"YELLOW STRAIGHTNECK SQUASH, FRESH OR CHILLED",line,hs10,slug_aggregates_codes,,"Fresh yellow straightneck squash, non-organic + organic (0709932030) summed."
yellow-squash,usda_ers,Fresh squash: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
yellow-squash,usda_nass,SQUASH,SQUASH,commodity,nass_commodity,exact,,
yogurt,census_hs,040320,YOGURT,commodity,hs6,exact,,
yogurt,usda_nass,YOGURT,YOGURT,commodity,nass_commodity,exact,,
zucchini,census_hs,0709932020,"ZUCCHINI SQUASH, CERT ORGANIC",line,hs10,slug_aggregates_codes,,
zucchini,census_hs,0709932055,"ZUCCHINI SQUASH, FRESH OR CHILLED",line,hs10,slug_aggregates_codes,,"Fresh zucchini, non-organic + organic (0709932020) summed."
zucchini,usda_ers,Fresh squash: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
zucchini,usda_nass,SQUASH,SQUASH,commodity,nass_commodity,exact,,NASS squash not split by type.
